time_stamp_millis,heart_rate,confidence,oxygen,status,temperature,RawIR,RawRed
78669,0,0,97,3,32.1,0,249347
78689,0,0,97,3,32.1,0,249347
78709,0,0,97,3,32.1,0,249347
78729,0,0,97,3,32.1,0,249347
78749,0,0,97,3,32.1,0,249347
78769,0,0,97,3,32.1,0,249347
78789,0,0,97,3,32.1,0,249347
78809,0,0,97,3,32.1,0,249347
78829,0,0,97,3,32.1,0,249347
78849,0,0,97,3,32.1,0,249347
78869,0,0,97,3,32.1,0,249347
78889,0,0,97,3,32.1,0,249347
78909,0,0,97,3,32.1,0,249347
78929,0,0,97,3,32.1,0,249347
78949,0,0,97,3,32.1,0,249347
78969,0,0,97,3,32.1,0,249347
78989,0,0,97,3,33.1,0,249347
79009,0,0,97,3,32.1,0,249347
79029,0,0,97,3,32.1,0,249347
79049,0,0,97,3,32.1,0,249347
79069,0,0,97,3,32.1,0,249347
79089,0,0,97,3,32.1,0,249347
79109,0,0,97,3,32.1,0,249347
79129,0,0,97,3,32.1,0,249347
79149,0,0,97,3,32.1,0,249347
79169,0,0,97,3,32.1,0,249347
79189,0,0,97,3,32.1,0,249347
79209,0,0,97,3,32.1,0,249347
79229,0,0,97,3,32.1,0,249347
79249,0,0,97,3,33.1,0,249347
79269,0,0,97,3,32.1,0,249347
79289,0,0,97,3,32.1,0,249347
79309,0,0,97,3,32.1,0,249347
79329,0,0,97,3,32.1,0,249347
79349,0,0,97,3,32.1,0,249347
79369,0,0,97,3,32.1,0,249347
79389,0,0,97,3,32.1,0,249347
79409,0,0,97,3,32.1,0,249347
79429,91,98,97,3,32.1,0,249347
79449,91,98,97,3,32.1,235362,249347
79469,91,98,97,3,32.1,235362,249347
79489,91,98,97,3,32.1,235362,249347
79509,91,98,97,3,32.1,235362,249347
79529,91,97,97,3,32.1,235362,249347
79549,91,97,97,3,32.1,235361,249347
79569,91,97,97,3,32.1,235361,249347
79589,91,97,97,3,32.1,235361,249347
79609,91,97,97,3,32.1,235361,249347
79629,91,97,97,3,33.1,235361,249347
79649,91,97,97,3,32.1,235361,249347
79669,91,97,97,3,32.1,235361,249347
79689,91,97,97,3,32.1,235361,249347
79709,91,97,97,3,33.1,235361,249347
79729,91,97,97,3,32.1,235361,249347
79749,91,97,97,3,32.1,235361,249347
79769,91,97,97,3,32.1,235361,249347
79794,15,97,97,3,32.1,235361,249347
79814,91,97,97,3,32.1,235361,249347
79834,91,97,97,3,32.1,235361,249347
79854,91,97,97,3,32.1,235361,249347
79874,91,97,97,3,32.1,235361,249347
79894,91,97,97,3,32.1,235361,249347
79914,91,97,97,3,32.1,235361,249347
79934,91,97,97,3,32.1,235361,249347
79954,91,97,97,3,32.1,235361,249347
79974,91,97,97,3,32.1,235361,249347
79994,91,97,97,3,32.1,235361,249347
80014,91,97,97,3,32.1,235361,249347
80034,91,97,97,3,32.1,235361,249347
80054,91,97,97,3,33.1,235361,249347
80074,91,97,97,3,32.1,235361,249347
80094,91,97,97,3,32.1,235361,249347
80114,91,97,97,3,32.1,235361,249347
80134,91,97,97,3,33.1,235361,249347
80154,91,97,97,3,32.1,235361,249347
80174,91,97,97,3,32.1,235361,249347
80194,91,97,97,3,32.1,235361,249347
80214,91,97,97,3,32.1,235361,249347
80234,91,97,97,3,32.1,235361,249347
80254,91,97,97,3,32.1,235361,249347
80274,91,97,97,3,32.1,235361,249347
80294,91,97,97,3,32.1,235361,249347
80314,91,97,97,3,33.1,235361,249347
80334,91,97,97,3,33.1,235361,249347
80354,91,97,97,3,32.1,235361,249347
80374,91,97,97,3,32.1,235361,249347
80394,91,97,97,3,32.1,235361,249347
80414,91,97,97,3,33.1,235361,249347
80434,91,97,97,3,32.1,235361,249347
80454,91,97,97,3,32.1,235361,249347
80474,91,97,97,3,32.1,235361,249347
80494,91,97,97,3,33.1,235361,249347
80514,91,97,97,3,32.1,235361,249347
80534,91,97,97,3,32.1,235361,249347
80559,91,97,97,3,32.1,235361,249347
80579,91,97,97,3,32.1,235361,249347
80599,91,97,97,3,32.1,235361,249347
80619,91,97,97,3,32.1,235361,249347
80639,91,97,97,3,32.1,235361,249347
80659,91,97,97,3,32.1,235361,249347
80679,91,97,97,3,32.1,235361,249347
80699,91,97,97,3,32.1,235361,249347
80719,91,97,97,3,32.1,235361,249347
80739,91,97,97,3,33.1,235361,249347
80759,91,97,97,3,32.1,235361,249347
80779,91,97,97,3,33.1,235361,249347
80799,91,97,97,3,32.1,235361,249347
80819,91,97,97,3,32.1,235361,249347
80839,91,97,97,3,32.1,235361,249347
80859,91,97,97,3,32.1,235361,249347
80879,91,97,97,3,32.1,235361,249347
80899,91,97,97,3,32.1,235361,249347
80919,91,97,97,3,32.1,235361,249347
80939,91,97,97,3,32.1,235361,249347
80959,91,97,97,3,32.1,235361,249347
80979,91,97,97,3,32.1,235361,249347
80999,91,97,97,3,32.1,235361,249347
81019,91,97,97,3,32.1,235361,249347
81039,91,97,97,3,32.1,235361,249347
81059,91,97,97,3,32.1,235361,249347
81079,91,97,97,3,32.1,235361,249347
81099,91,97,97,3,32.1,235361,249347
81119,91,97,97,3,32.1,235361,249347
81139,91,97,97,3,33.1,235361,249347
81159,91,97,97,3,32.1,235361,249347
81179,91,97,97,3,32.1,235361,249347
81199,91,97,97,3,32.1,235361,249347
81219,91,97,97,3,32.1,235361,249347
81239,91,97,97,3,32.1,235361,249347
81259,91,97,97,3,32.1,235361,249347
81279,91,97,97,3,32.1,235361,249347
81299,91,97,97,3,32.1,235361,249347
81319,91,97,97,3,32.1,235361,249347
81339,91,97,97,3,32.1,235361,249347
81359,91,97,97,3,32.1,235361,249347
81379,91,97,97,3,32.1,235361,249347
81399,91,97,97,3,32.1,235361,249347
81419,91,97,97,3,32.1,235361,249347
81439,91,97,97,3,32.1,235361,249347
81459,91,97,97,3,32.1,235361,249347
81479,91,97,97,3,33.1,235361,249347
81499,91,97,97,3,32.1,235361,249347
81524,15,97,97,3,32.1,235361,249347
81544,91,97,97,3,32.1,235361,249347
81564,91,97,97,3,32.1,235361,249347
81584,91,97,97,3,32.1,235361,249347
81604,91,97,97,3,32.1,235361,249347
81624,91,97,97,3,32.1,235361,249347
81644,91,97,97,3,32.1,235361,249347
81664,91,97,97,3,33.1,235361,249347
81684,91,97,97,3,33.1,235361,249347
81704,91,97,97,3,32.1,235361,249347
81724,91,97,97,3,33.1,235361,249347
81744,91,97,97,3,32.1,235361,249347
81764,91,97,97,3,32.1,235361,249347
81784,91,97,97,3,33.1,235361,249347
81804,91,97,97,3,33.1,235361,249347
81824,91,97,97,3,32.1,235361,249347
81844,91,97,97,3,32.1,235361,249347
81864,91,97,97,3,32.1,235361,249347
81884,91,97,97,3,32.1,235361,249347
81904,91,97,97,3,33.1,235361,249347
81924,91,97,97,3,33.1,235361,249347
81944,91,97,97,3,32.1,235361,249347
81964,91,97,97,3,32.1,235361,249347
81984,91,97,97,3,32.1,235361,249347
82004,91,97,97,3,33.1,235361,249347
82024,91,97,97,3,32.1,235361,249347
82044,91,97,97,3,32.1,235361,249347
82064,91,97,97,3,32.1,235361,249347
82084,91,97,97,3,32.1,235361,249347
82104,91,97,97,3,32.1,235361,249347
82124,91,97,97,3,32.1,235361,249347
82144,91,97,97,3,33.1,235361,249347
82164,91,97,97,3,32.1,235361,249347
82184,92,96,97,3,32.1,235361,249347
82204,92,96,97,3,32.1,235616,249347
82224,92,96,97,3,32.1,235616,249347
82244,92,96,97,3,32.1,235616,249347
82264,92,96,97,3,33.1,235616,249347
82284,92,96,97,3,33.1,235616,249347
82304,92,96,97,3,32.1,235616,249347
82324,92,96,97,3,32.1,235616,249347
82344,92,96,97,3,32.1,235616,249347
82364,92,96,97,3,32.1,235616,249347
82384,92,96,97,3,32.1,235616,249347
82404,92,96,97,3,32.1,235616,249347
82424,92,96,97,3,32.1,235616,249347
82444,92,96,97,3,32.1,235616,249347
82464,92,96,97,3,33.1,235616,249347
82484,92,96,97,3,32.1,235616,249347
82504,92,96,97,3,33.1,235616,249347
82524,92,96,97,3,32.1,235616,249347
82544,92,96,97,3,32.1,235616,248835
82569,92,96,97,3,32.1,235616,248835
82589,92,96,97,3,33.1,235616,248835
82609,92,96,97,3,33.1,235616,248835
82629,92,96,97,3,32.1,235616,248835
82649,92,96,97,3,32.1,235616,248835
82669,92,96,97,3,32.1,235616,248835
82689,92,96,97,3,33.1,235616,248835
82709,92,96,97,3,32.1,235616,248835
82729,92,96,97,3,33.1,235616,248835
82749,92,96,97,3,33.1,235616,248835
82769,92,96,97,3,33.1,235616,248835
82789,92,96,97,3,33.1,235616,248835
82809,92,96,97,3,32.1,235616,248835
82829,92,96,97,3,33.1,235616,248835
82849,92,96,97,3,32.1,235616,248835
82869,92,96,97,3,32.1,235616,248835
82889,92,96,97,3,32.1,235616,248835
82909,92,96,97,3,32.1,235616,248835
82929,92,96,97,3,32.1,235616,248835
82949,92,96,97,3,32.1,235616,248835
82969,92,96,97,3,32.1,235616,248835
82989,92,96,97,3,32.1,235616,248835
83009,92,96,97,3,32.1,235616,248835
83029,92,96,97,3,32.1,235616,248835
83049,92,96,97,3,32.1,235616,248835
83069,0,0,97,3,32.1,235616,248835
83089,0,0,97,3,33.1,0,248835
83114,0,0,97,3,32.1,0,248835
83134,0,0,97,3,32.1,0,248835
83154,0,0,97,3,33.1,0,248835
83174,0,0,97,3,32.1,0,248835
83194,0,0,97,3,33.1,0,248835
83214,0,0,97,3,33.1,0,248835
83234,0,0,97,3,33.1,0,248835
83254,0,0,97,3,32.1,0,248835
83279,0,0,97,3,33.1,0,248835
83304,0,0,97,3,33.1,0,248835
83333,0,0,97,3,32.1,0,248835
83353,0,0,97,3,32.1,0,248835
83373,0,0,97,3,33.1,0,248835
83393,0,0,97,3,33.1,0,248835
83413,0,0,97,3,32.1,0,248835
83433,0,0,97,3,33.1,0,248835
83453,0,0,97,3,32.1,0,248835
83473,0,0,97,3,32.1,0,248835
83493,0,0,97,3,32.1,0,248835
83513,0,0,97,3,32.1,0,248835
83533,0,0,97,3,32.1,0,248835
83553,92,96,97,3,33.1,0,248835
83573,92,96,97,3,32.1,235872,248579
83593,92,96,97,3,32.1,235872,248579
83613,92,96,97,3,33.1,235872,248579
83633,92,96,97,3,33.1,235872,248579
83653,92,96,97,3,33.1,235872,248579
83673,92,96,97,3,33.1,235872,248579
83693,92,96,97,3,32.1,235872,248579
83713,92,96,97,3,32.1,235872,248579
83733,92,96,97,3,33.1,235872,248579
83753,92,96,97,3,32.1,235872,248579
83773,92,96,97,3,33.1,235872,248579
83793,92,96,97,3,32.1,235872,248579
83813,92,96,97,3,33.1,235872,248579
83833,92,96,97,3,32.1,235872,248579
83853,92,96,97,3,32.1,235872,248579
83873,92,96,97,3,32.1,235872,248579
83893,92,96,97,3,32.1,235872,248579
83913,92,96,97,3,32.1,235872,248579
83933,92,96,97,3,33.1,235872,248579
83953,92,96,97,3,32.1,235872,248579
83973,92,96,97,3,32.1,235872,248579
83993,92,96,97,3,32.1,235872,248579
84013,92,96,97,3,32.1,235872,248579
84033,92,96,97,3,33.1,235872,248579
84053,92,96,97,3,32.1,235872,248579
84073,92,96,97,3,32.1,235872,248579
84093,92,96,97,3,32.1,235872,248579
84113,92,96,97,3,32.1,235872,248579
84133,92,96,97,3,32.1,235872,248579
84153,92,96,97,3,33.1,235872,248579
84173,92,96,97,3,32.1,235872,248579
84193,92,96,97,3,32.1,235872,248579
84213,92,96,97,3,32.1,235872,248579
84233,92,96,97,3,32.1,235872,248579
84253,92,96,97,3,33.1,235872,248579
84273,92,96,97,3,32.1,235872,248579
84293,92,96,97,3,32.1,235872,248579
84313,92,96,97,3,32.1,235872,248579
84333,92,96,97,3,32.1,235872,248579
84353,92,96,97,3,32.1,235872,248579
84373,92,96,97,3,33.1,235872,248579
84393,92,96,97,3,33.1,235872,248579
84413,92,96,97,3,33.1,235872,248579
84433,92,96,97,3,33.1,235872,248579
84453,92,96,97,3,33.1,235872,248579
84473,92,96,97,3,33.1,235872,248579
84493,92,96,97,3,33.1,235872,248579
84513,92,96,97,3,33.1,235872,248579
84533,92,96,97,3,33.1,235872,248579
84553,92,96,97,3,33.1,235872,248579
84578,92,96,97,3,33.1,235872,248579
84598,92,96,97,3,33.1,235872,248579
84618,92,96,97,3,33.1,235872,248579
84638,92,96,97,3,33.1,235872,248579
